year,State,Regional Price Parities 
2011,Massachusetts,107.8
2011,Michigan,94.6
2011,Minnesota,97.2
2011,Mississippi,86.8
2011,Missouri,89.1
2011,Montana,93.8
2011,Nebraska,90.3
2011,Nevada,99.8
2011,New Hampshire,105.3
2011,New Jersey,114.6
2011,New Mexico,95.3
2011,New York,115.2
2011,North Carolina,91.5
2011,North Dakota,89.7
2011,Ohio,89.7
2011,Oklahoma,89.6
2011,Oregon,98.5
2011,Pennsylvania,98.4
2011,Rhode Island,99.4
2011,South Carolina,90.8
2011,South Dakota,87.3
2011,Tennessee,90.3
2011,Texas,96.2
2011,Utah,97.2
2011,Vermont,99.9
2011,Virginia,103
2011,Washington,102.9
2011,West Virginia,88.5
2011,Wisconsin,93.3
2011,Wyoming,96.7
2012,United States,100
2012,Alabama,88.1
2012,Alaska,105.4
2012,Arizona,97.1
2012,Arkansas,87.8
2012,California,112.9
2012,Colorado,101.1
2012,Connecticut,109.2
2012,Delaware,101.2
2012,District of Columbia,117.7
2012,Florida,99.1
2012,Georgia,92.2
2012,Hawaii,117.8
2012,Idaho,93.4
2012,Illinois,100.7
2012,Indiana,91.4
2012,Iowa,90.2
2012,Kansas,90.6
2012,Kentucky,88.8
2012,Louisiana,91.4
2012,Maine,98.4
2012,Maryland,110.1
2012,Massachusetts,106.6
2012,Michigan,94.5
2012,Minnesota,97.6
2012,Mississippi,86.5
2012,Missouri,89.3
2012,Montana,93.5
2012,Nebraska,90.6
2012,Nevada,98.7
2012,New Hampshire,105.6
2012,New Jersey,114.4
2012,New Mexico,95
2012,New York,115.3
2012,North Carolina,91.7
2012,North Dakota,91
2012,Ohio,89.4
2012,Oklahoma,89.9
2012,Oregon,98.7
2012,Pennsylvania,98.4
2012,Rhode Island,98.8
2012,South Carolina,90.8
2012,South Dakota,88.9
2012,Tennessee,90.8
2012,Texas,96.2
2012,Utah,97.1
2012,Vermont,100.8
2012,Virginia,103
2012,Washington,103.5
2012,West Virginia,88.6
2012,Wisconsin,93.5
2012,Wyoming,95.8
2013,United States,100
2013,Alabama,87.8
2013,Alaska,104.9
2013,Arizona,96.5
2013,Arkansas,87.8
2013,California,113.1
2013,Colorado,102.1
2013,Connecticut,108.5
2013,Delaware,100.6
2013,District of Columbia,117
2013,Florida,99.2
2013,Georgia,92.3
2013,Hawaii,118.3
2013,Idaho,93.2
2013,Illinois,99.7
2013,Indiana,91.3
2013,Iowa,90.6
2013,Kansas,91.3
2013,Kentucky,89.3
2013,Louisiana,91.2
2013,Maine,98.5
2013,Maryland,109.9
2013,Massachusetts,106.7
2013,Michigan,94.3
2013,Minnesota,97.5
2013,Mississippi,87.2
2013,Missouri,89.9
2013,Montana,94.6
2013,Nebraska,90.7
2013,Nevada,98.7
2013,New Hampshire,105.4
2013,New Jersey,113.4
2013,New Mexico,95.3
2013,New York,115.2
2013,North Carolina,91.8
2013,North Dakota,91.7
2013,Ohio,89.5
2013,Oklahoma,90
2013,Oregon,98.9
2013,Pennsylvania,98.6
2013,Rhode Island,98.8
2013,South Carolina,90.5
2013,South Dakota,88
2013,Tennessee,90.7
2013,Texas,96.3
2013,Utah,97.7
2013,Vermont,100.9
2013,Virginia,102.8
2013,Washington,104.2
2013,West Virginia,88.6
2013,Wisconsin,93.2
2013,Wyoming,96
2014,United States,100
2014,Alabama,87.1
2014,Alaska,106.3
2014,Arizona,96
2014,Arkansas,86.9
2014,California,113.7
2014,Colorado,102
2014,Connecticut,108.6
2014,Delaware,101.1
2014,District of Columbia,118.2
2014,Florida,99.4
2014,Georgia,92
2014,Hawaii,118.4
2014,Idaho,93.6
2014,Illinois,99.3
2014,Indiana,90.8
2014,Iowa,90.3
2014,Kansas,90.9
2014,Kentucky,88.3
2014,Louisiana,90.9
2014,Maine,98
2014,Maryland,110.2
2014,Massachusetts,107.3
2014,Michigan,93.6
2014,Minnesota,97.5
2014,Mississippi,86.2
2014,Missouri,89.8
2014,Montana,94.7
2014,Nebraska,90.5
2014,Nevada,97.5
2014,New Hampshire,105.7
2014,New Jersey,113.8
2014,New Mexico,94.7
2014,New York,115.7
2014,North Carolina,91.4
2014,North Dakota,91.6
2014,Ohio,89.4
2014,Oklahoma,89.5
2014,Oregon,98.8
2014,Pennsylvania,98.1
2014,Rhode Island,99.8
2014,South Carolina,90
2014,South Dakota,88
2014,Tennessee,89.8
2014,Texas,96.5
2014,Utah,96.8
2014,Vermont,102.5
2014,Virginia,102.7
2014,Washington,104.9
2014,West Virginia,88.2
2014,Wisconsin,93.3
2014,Wyoming,96.8
2015,United States,100
2015,Alabama,86.8
2015,Alaska,105.5
2015,Arizona,96.1
2015,Arkansas,87.4
2015,California,113.8
2015,Colorado,102.3
2015,Connecticut,108.5
2015,Delaware,100
2015,District of Columbia,116.8
2015,Florida,99.5
2015,Georgia,92.8
2015,Hawaii,119.2
2015,Idaho,93.3
2015,Illinois,99
2015,Indiana,90.1
2015,Iowa,89.9
2015,Kansas,90.2
2015,Kentucky,88.7
2015,Louisiana,90.5
2015,Maine,99.1
2015,Maryland,109.6
2015,Massachusetts,107.6
2015,Michigan,93
2015,Minnesota,97.2
2015,Mississippi,86.2
2015,Missouri,89.6
2015,Montana,95.1
2015,Nebraska,90.2
2015,Nevada,97.3
2015,New Hampshire,105.7
2015,New Jersey,113.4
2015,New Mexico,93.8
2015,New York,115.8
2015,North Carolina,91.2
2015,North Dakota,92
2015,Ohio,89.2
2015,Oklahoma,89.8
2015,Oregon,98.5
2015,Pennsylvania,98.2
2015,Rhode Island,99.9
2015,South Carolina,90.3
2015,South Dakota,88
2015,Tennessee,89.9
2015,Texas,96.7
2015,Utah,96.4
2015,Vermont,102.7
2015,Virginia,102.6
2015,Washington,105.2
2015,West Virginia,88.7
2015,Wisconsin,93
2015,Wyoming,96.4
2016,United States,100
2016,Alabama,86.1
2016,Alaska,105.7
2016,Arizona,95.8
2016,Arkansas,86.8
2016,California,114.7
2016,Colorado,101.7
2016,Connecticut,107.3
2016,Delaware,100
2016,District of Columbia,114.6
2016,Florida,100.1
2016,Georgia,92.7
2016,Hawaii,118.9
2016,Idaho,92.2
2016,Illinois,98.7
2016,Indiana,89.7
2016,Iowa,90
2016,Kansas,90.1
2016,Kentucky,87.5
2016,Louisiana,89.9
2016,Maine,99.4
2016,Maryland,109
2016,Massachusetts,109.2
2016,Michigan,92.8
2016,Minnesota,97.8
2016,Mississippi,86
2016,Missouri,89.5
2016,Montana,93.4
2016,Nebraska,90.1
2016,Nevada,96
2016,New Hampshire,106.8
2016,New Jersey,114.1
2016,New Mexico,92.4
2016,New York,116.4
2016,North Carolina,91.3
2016,North Dakota,91.4
2016,Ohio,89.1
2016,Oklahoma,88.7
2016,Oregon,100.5
2016,Pennsylvania,98.1
2016,Rhode Island,100.6
2016,South Carolina,90.7
2016,South Dakota,88.3
2016,Tennessee,89.6
2016,Texas,96.6
2016,Utah,96
2016,Vermont,102.6
2016,Virginia,102.2
2016,Washington,106.1
2016,West Virginia,87.8
2016,Wisconsin,92.6
2016,Wyoming,95.9
2017,United States,100
2017,Alabama,85.5
2017,Alaska,105.9
2017,Arizona,95.9
2017,Arkansas,85.7
2017,California,115.8
2017,Colorado,101.6
2017,Connecticut,106.2
2017,Delaware,99.8
2017,District of Columbia,115.1
2017,Florida,100.3
2017,Georgia,92.9
2017,Hawaii,119.2
2017,Idaho,91.7
2017,Illinois,98.2
2017,Indiana,89.6
2017,Iowa,90.2
2017,Kansas,90
2017,Kentucky,87.1
2017,Louisiana,88.9
2017,Maine,99.6
2017,Maryland,108.3
2017,Massachusetts,109.6
2017,Michigan,92.7
2017,Minnesota,98.2
2017,Mississippi,84.8
2017,Missouri,89.5
2017,Montana,93.4
2017,Nebraska,89.9
2017,Nevada,95.8
2017,New Hampshire,107
2017,New Jersey,114.6
2017,New Mexico,91.8
2017,New York,116.3
2017,North Carolina,91.5
2017,North Dakota,90.6
2017,Ohio,88.9
2017,Oklahoma,88
2017,Oregon,101.3
2017,Pennsylvania,97.2
2017,Rhode Island,99.8
2017,South Carolina,90.6
2017,South Dakota,88.7
2017,Tennessee,89.1
2017,Texas,96.5
2017,Utah,95.3
2017,Vermont,103.8
2017,Virginia,101.6
2017,Washington,107.5
2017,West Virginia,87.2
2017,Wisconsin,92.4
2017,Wyoming,94
2018,United States,100
2018,Alabama,85.9
2018,Alaska,105.7
2018,Arizona,96.4
2018,Arkansas,84.7
2018,California,116.2
2018,Colorado,101.3
2018,Connecticut,105.5
2018,Delaware,98.7
2018,District of Columbia,115.2
2018,Florida,100.7
2018,Georgia,93.1
2018,Hawaii,118.5
2018,Idaho,92
2018,Illinois,97.8
2018,Indiana,89.2
2018,Iowa,89.4
2018,Kansas,90
2018,Kentucky,87.5
2018,Louisiana,88.5
2018,Maine,100.6
2018,Maryland,107.7
2018,Massachusetts,110.3
2018,Michigan,92.3
2018,Minnesota,97.7
2018,Mississippi,85.6
2018,Missouri,88.7
2018,Montana,92.9
2018,Nebraska,89.6
2018,Nevada,96.8
2018,New Hampshire,106.4
2018,New Jersey,116.1
2018,New Mexico,90.5
2018,New York,116.7
2018,North Carolina,91.7
2018,North Dakota,90.7
2018,Ohio,88.5
2018,Oklahoma,87.7
2018,Oregon,101.8
2018,Pennsylvania,97.1
2018,Rhode Island,99.9
2018,South Carolina,91
2018,South Dakota,88.1
2018,Tennessee,89.3
2018,Texas,96.5
2018,Utah,96
2018,Vermont,103.7
2018,Virginia,101.6
2018,Washington,108.6
2018,West Virginia,87.7
2018,Wisconsin,91.9
2018,Wyoming,92.3
2019,United States,100
2019,Alabama,85.8
2019,Alaska,105.1
2019,Arizona,96.3
2019,Arkansas,84.7
2019,California,116.4
2019,Colorado,101.9
2019,Connecticut,105
2019,Delaware,99.4
2019,District of Columbia,115.2
2019,Florida,101
2019,Georgia,93.2
2019,Hawaii,119.3
2019,Idaho,92.2
2019,Illinois,97.4
2019,Indiana,88.7
2019,Iowa,89
2019,Kansas,89.2
2019,Kentucky,87.4
2019,Louisiana,87.9
2019,Maine,99.3
2019,Maryland,107.7
2019,Massachusetts,110.4
2019,Michigan,92.3
2019,Minnesota,98
2019,Mississippi,84.4
2019,Missouri,88.7
2019,Montana,93.5
2019,Nebraska,89.5
2019,Nevada,97.4
2019,New Hampshire,106.5
2019,New Jersey,116
2019,New Mexico,91.1
2019,New York,116.3
2019,North Carolina,91.7
2019,North Dakota,89.3
2019,Ohio,88.4
2019,Oklahoma,87.2
2019,Oregon,102.2
2019,Pennsylvania,97
2019,Rhode Island,101.3
2019,South Carolina,91.5
2019,South Dakota,87.8
2019,Tennessee,89.7
2019,Texas,96.5
2019,Utah,96.5
2019,Vermont,103.1
2019,Virginia,101.3
2019,Washington,108.4
2019,West Virginia,87.1
2019,Wisconsin,91.9
2019,Wyoming,92.8
