year,State,PCE Category,PCE
1998,Oregon,      Housing and utilities,4371
1998,Oregon,      Health care,2563
1998,Pennsylvania,      Clothing and footwear,931
1998,Pennsylvania,      Gasoline and other energy goods,456
1998,Pennsylvania,    Household consumption expenditures (for services),13335
1998,Pennsylvania,      Housing and utilities,3347
1998,Pennsylvania,      Health care,3294
1998,Rhode Island,      Clothing and footwear,750
1998,Rhode Island,      Gasoline and other energy goods,451
1998,Rhode Island,    Household consumption expenditures (for services),13719
1998,Rhode Island,      Housing and utilities,4125
1998,Rhode Island,      Health care,3586
1998,South Carolina,      Clothing and footwear,941
1998,South Carolina,      Gasoline and other energy goods,562
1998,South Carolina,    Household consumption expenditures (for services),10556
1998,South Carolina,      Housing and utilities,2950
1998,South Carolina,      Health care,2627
1998,South Dakota,      Clothing and footwear,748
1998,South Dakota,      Gasoline and other energy goods,662
1998,South Dakota,    Household consumption expenditures (for services),11309
1998,South Dakota,      Housing and utilities,2805
1998,South Dakota,      Health care,2967
1998,Tennessee,      Clothing and footwear,955
1998,Tennessee,      Gasoline and other energy goods,535
1998,Tennessee,    Household consumption expenditures (for services),11280
1998,Tennessee,      Housing and utilities,3261
1998,Tennessee,      Health care,3061
1998,Texas,      Clothing and footwear,940
1998,Texas,      Gasoline and other energy goods,489
1998,Texas,    Household consumption expenditures (for services),12429
1998,Texas,      Housing and utilities,3558
1998,Texas,      Health care,2703
1998,Utah,      Clothing and footwear,811
1998,Utah,      Gasoline and other energy goods,512
1998,Utah,    Household consumption expenditures (for services),10970
1998,Utah,      Housing and utilities,3732
1998,Utah,      Health care,2097
1998,Vermont,      Clothing and footwear,838
1998,Vermont,      Gasoline and other energy goods,705
1998,Vermont,    Household consumption expenditures (for services),13658
1998,Vermont,      Housing and utilities,3878
1998,Vermont,      Health care,2921
1998,Virginia,      Clothing and footwear,1007
1998,Virginia,      Gasoline and other energy goods,541
1998,Virginia,    Household consumption expenditures (for services),13143
1998,Virginia,      Housing and utilities,4091
1998,Virginia,      Health care,2561
1998,Washington,      Clothing and footwear,913
1998,Washington,      Gasoline and other energy goods,516
1998,Washington,    Household consumption expenditures (for services),14326
1998,Washington,      Housing and utilities,4638
1998,Washington,      Health care,2981
1998,West Virginia,      Clothing and footwear,637
1998,West Virginia,      Gasoline and other energy goods,507
1998,West Virginia,    Household consumption expenditures (for services),9307
1998,West Virginia,      Housing and utilities,2322
1998,West Virginia,      Health care,3162
1998,Wisconsin,      Clothing and footwear,783
1998,Wisconsin,      Gasoline and other energy goods,529
1998,Wisconsin,    Household consumption expenditures (for services),12518
1998,Wisconsin,      Housing and utilities,3498
1998,Wisconsin,      Health care,3086
1998,Wyoming,      Clothing and footwear,722
1998,Wyoming,      Gasoline and other energy goods,1002
1998,Wyoming,    Household consumption expenditures (for services),11674
1998,Wyoming,      Housing and utilities,3253
1998,Wyoming,      Health care,2454
1999,United States,      Clothing and footwear,972
1999,United States,      Gasoline and other energy goods,525
1999,United States,    Household consumption expenditures (for services),13811
1999,United States,      Housing and utilities,4025
1999,United States,      Health care,3095
1999,Alabama,      Clothing and footwear,852
1999,Alabama,      Gasoline and other energy goods,529
1999,Alabama,    Household consumption expenditures (for services),10770
1999,Alabama,      Housing and utilities,2758
1999,Alabama,      Health care,2967
1999,Alaska,      Clothing and footwear,845
1999,Alaska,      Gasoline and other energy goods,715
1999,Alaska,    Household consumption expenditures (for services),14792
1999,Alaska,      Housing and utilities,4229
1999,Alaska,      Health care,3190
1999,Arizona,      Clothing and footwear,798
1999,Arizona,      Gasoline and other energy goods,589
1999,Arizona,    Household consumption expenditures (for services),13146
1999,Arizona,      Housing and utilities,3753
1999,Arizona,      Health care,2524
1999,Arkansas,      Clothing and footwear,866
1999,Arkansas,      Gasoline and other energy goods,644
1999,Arkansas,    Household consumption expenditures (for services),9961
1999,Arkansas,      Housing and utilities,2751
1999,Arkansas,      Health care,2736
1999,California,      Clothing and footwear,1009
1999,California,      Gasoline and other energy goods,420
1999,California,    Household consumption expenditures (for services),15301
1999,California,      Housing and utilities,4993
1999,California,      Health care,2972
1999,Colorado,      Clothing and footwear,1011
1999,Colorado,      Gasoline and other energy goods,563
1999,Colorado,    Household consumption expenditures (for services),15786
1999,Colorado,      Housing and utilities,5069
1999,Colorado,      Health care,2782
1999,Connecticut,      Clothing and footwear,1161
1999,Connecticut,      Gasoline and other energy goods,614
1999,Connecticut,    Household consumption expenditures (for services),18299
1999,Connecticut,      Housing and utilities,5523
1999,Connecticut,      Health care,3863
1999,Delaware,      Clothing and footwear,1074
1999,Delaware,      Gasoline and other energy goods,476
1999,Delaware,    Household consumption expenditures (for services),14357
1999,Delaware,      Housing and utilities,4280
1999,Delaware,      Health care,3316
1999,District of Columbia,      Clothing and footwear,1335
1999,District of Columbia,      Gasoline and other energy goods,722
1999,District of Columbia,    Household consumption expenditures (for services),23852
1999,District of Columbia,      Housing and utilities,4997
1999,District of Columbia,      Health care,5346
1999,Florida,      Clothing and footwear,785
1999,Florida,      Gasoline and other energy goods,469
1999,Florida,    Household consumption expenditures (for services),14131
1999,Florida,      Housing and utilities,4127
1999,Florida,      Health care,3177
1999,Georgia,      Clothing and footwear,1029
1999,Georgia,      Gasoline and other energy goods,590
1999,Georgia,    Household consumption expenditures (for services),12218
1999,Georgia,      Housing and utilities,3544
1999,Georgia,      Health care,2812
1999,Hawaii,      Clothing and footwear,753
1999,Hawaii,      Gasoline and other energy goods,400
1999,Hawaii,    Household consumption expenditures (for services),14181
1999,Hawaii,      Housing and utilities,4350
1999,Hawaii,      Health care,3210
1999,Idaho,      Clothing and footwear,635
1999,Idaho,      Gasoline and other energy goods,645
1999,Idaho,    Household consumption expenditures (for services),10735
1999,Idaho,      Housing and utilities,3397
1999,Idaho,      Health care,2371
1999,Illinois,      Clothing and footwear,1030
1999,Illinois,      Gasoline and other energy goods,423
1999,Illinois,    Household consumption expenditures (for services),14573
1999,Illinois,      Housing and utilities,4218
1999,Illinois,      Health care,3078
1999,Indiana,      Clothing and footwear,858
1999,Indiana,      Gasoline and other energy goods,636
1999,Indiana,    Household consumption expenditures (for services),11904
1999,Indiana,      Housing and utilities,3337
1999,Indiana,      Health care,2945
1999,Iowa,      Clothing and footwear,796
1999,Iowa,      Gasoline and other energy goods,748
1999,Iowa,    Household consumption expenditures (for services),11910
1999,Iowa,      Housing and utilities,3132
1999,Iowa,      Health care,3015
1999,Kansas,      Clothing and footwear,800
1999,Kansas,      Gasoline and other energy goods,574
1999,Kansas,    Household consumption expenditures (for services),11710
1999,Kansas,      Housing and utilities,3347
1999,Kansas,      Health care,3030
1999,Kentucky,      Clothing and footwear,785
1999,Kentucky,      Gasoline and other energy goods,604
1999,Kentucky,    Household consumption expenditures (for services),10674
1999,Kentucky,      Housing and utilities,2808
1999,Kentucky,      Health care,3008
1999,Louisiana,      Clothing and footwear,808
1999,Louisiana,      Gasoline and other energy goods,512
1999,Louisiana,    Household consumption expenditures (for services),10796
1999,Louisiana,      Housing and utilities,3087
1999,Louisiana,      Health care,2978
1999,Maine,      Clothing and footwear,908
1999,Maine,      Gasoline and other energy goods,793
1999,Maine,    Household consumption expenditures (for services),13137
1999,Maine,      Housing and utilities,3584
1999,Maine,      Health care,3405
1999,Maryland,      Clothing and footwear,1079
1999,Maryland,      Gasoline and other energy goods,482
1999,Maryland,    Household consumption expenditures (for services),15169
1999,Maryland,      Housing and utilities,4943
1999,Maryland,      Health care,3224
1999,Massachusetts,      Clothing and footwear,1257
1999,Massachusetts,      Gasoline and other energy goods,516
1999,Massachusetts,    Household consumption expenditures (for services),18228
1999,Massachusetts,      Housing and utilities,5386
1999,Massachusetts,      Health care,4183
1999,Michigan,      Clothing and footwear,941
1999,Michigan,      Gasoline and other energy goods,547
1999,Michigan,    Household consumption expenditures (for services),13575
1999,Michigan,      Housing and utilities,3837
1999,Michigan,      Health care,2988
1999,Minnesota,      Clothing and footwear,961
1999,Minnesota,      Gasoline and other energy goods,676
1999,Minnesota,    Household consumption expenditures (for services),15670
1999,Minnesota,      Housing and utilities,3975
1999,Minnesota,      Health care,3827
1999,Mississippi,      Clothing and footwear,749
1999,Mississippi,      Gasoline and other energy goods,591
1999,Mississippi,    Household consumption expenditures (for services),9011
1999,Mississippi,      Housing and utilities,2733
1999,Mississippi,      Health care,2697
1999,Missouri,      Clothing and footwear,827
1999,Missouri,      Gasoline and other energy goods,680
1999,Missouri,    Household consumption expenditures (for services),12908
1999,Missouri,      Housing and utilities,3283
1999,Missouri,      Health care,3169
1999,Montana,      Clothing and footwear,659
1999,Montana,      Gasoline and other energy goods,647
1999,Montana,    Household consumption expenditures (for services),11330
1999,Montana,      Housing and utilities,3237
1999,Montana,      Health care,2834
